NAMA KABUPATEN;NAMA KECAMATAN;NAMA DESA;IKS 2023;IKE 2023;IKL 2023;NILAI IDM 2023;STATUS IDM 2023;TARGET IDM 2024
MALANG;SUMBERMANJING WETAN;RINGINKEMBAR;0.7886;0.6667;0.6667;0.7073;MAJU;MANDIRI
MALANG;TUMPANG;NGINGIT;0.84;0.6167;0.6667;0.7078;MAJU;MANDIRI
MALANG;DONOMULYO;BANJAREJO;0.7429;0.7167;0.6667;0.7087;MAJU;MANDIRI
MALANG;KALIPARE;SUMBERPETUNG;0.7943;0.6667;0.6667;0.7092;MAJU;MANDIRI
MALANG;DAMPIT;SRIMULYO;0.8114;0.5167;0.8;0.7094;MAJU;MANDIRI
MALANG;PAGAK;SUMBERKERTO;0.7714;0.5;0.8667;0.7127;MAJU;MANDIRI
MALANG;SUMBERMANJING WETAN;TEGALREJO;0.8571;0.6833;0.6;0.7135;MAJU;MANDIRI
MALANG;TIRTOYUDO;KEPATIHAN;0.8286;0.45;0.8667;0.7151;MAJU;MANDIRI
MALANG;TIRTOYUDO;AMPELGADING;0.7886;0.7;0.6667;0.7184;MAJU;MANDIRI
MALANG;DONOMULYO;MENTARAMAN;0.7943;0.7;0.6667;0.7203;MAJU;MANDIRI
